-0.06,-0.0
-0.06,-0.0
-0.06,-0.0
0.24,-0.0
0.41,-0.01
0.52,-0.02
0.64,-0.04
0.73,-0.06
0.72,-0.07
0.72,-0.08
0.71,-0.08
0.71,-0.09
0.7,-0.1
0.7,-0.11
0.7,-0.12
0.71,-0.13
0.71,-0.15
0.71,-0.16
0.7,-0.18
0.71,-0.19
0.71,-0.2
0.71,-0.21
0.7,-0.22
0.7,-0.23
0.69,-0.23
0.7,-0.23
0.69,-0.23
0.69,-0.23
0.68,-0.22
0.69,-0.23
0.69,-0.23
0.71,-0.24
0.7,-0.24
0.7,-0.24
0.69,-0.25
0.7,-0.25
0.69,-0.25
0.69,-0.25
0.69,-0.25
0.68,-0.24
0.69,-0.24
0.69,-0.24
0.69,-0.24
0.68,-0.24
0.69,-0.24
0.67,-0.24
0.68,-0.24
0.68,-0.25
0.68,-0.25
0.68,-0.25
0.69,-0.25
0.69,-0.25
0.69,-0.25
0.69,-0.24
0.69,-0.24
0.69,-0.24
0.69,-0.23
0.69,-0.23
0.69,-0.23
0.69,-0.22
0.71,-0.23
0.71,-0.23
0.72,-0.22
0.73,-0.22
0.73,-0.22
0.75,-0.21
0.78,-0.21
0.78,-0.21
0.8,-0.2
0.82,-0.19
0.83,-0.18
0.86,-0.17
0.89,-0.16
0.91,-0.15
0.95,-0.13
0.97,-0.12
1.01,-0.11
1.03,-0.09
1.06,-0.07
1.07,-0.06
1.1,-0.04
1.12,-0.03
1.14,-0.01
1.16,0.01
1.2,0.03
1.22,0.05
1.26,0.06
1.28,0.08
1.31,0.09
1.32,0.1
1.34,0.11
1.36,0.11
1.37,0.12
1.37,0.12
1.39,0.14
1.38,0.14
1.4,0.16
1.42,0.17
1.43,0.17
1.44,0.18
1.47,0.18
1.49,0.17
1.52,0.16
1.54,0.15
1.57,0.15
1.6,0.16
1.65,0.18
1.67,0.19
1.71,0.22
1.71,0.22
1.74,0.24
1.74,0.24
1.73,0.23
1.73,0.22
1.72,0.2
1.71,0.18
1.69,0.15
1.69,0.14
1.68,0.13
1.69,0.13
1.69,0.14
1.69,0.15
1.68,0.17
1.68,0.18
1.68,0.19
1.67,0.18
1.67,0.16
1.68,0.15
1.7,0.11
1.72,0.07
1.76,0.02
1.79,-0.0
1.83,-0.04
1.86,-0.06
1.91,-0.09
1.94,-0.11
1.96,-0.12
2.0,-0.13
2.03,-0.13
2.04,-0.13
2.07,-0.13
2.09,-0.14
2.1,-0.15
2.1,-0.16
2.1,-0.19
2.1,-0.23
2.11,-0.27
2.12,-0.32
2.14,-0.37
2.15,-0.39
2.2,-0.45
2.25,-0.48
2.31,-0.5
2.34,-0.49
2.39,-0.48
2.41,-0.46
2.41,-0.45
2.44,-0.4
2.46,-0.37
2.47,-0.34
2.48,-0.34
2.49,-0.31
2.5,-0.32
2.51,-0.34
2.53,-0.37
2.58,-0.44
2.61,-0.49
2.64,-0.54
2.65,-0.56
2.7,-0.62
2.74,-0.63
2.78,-0.64
2.81,-0.62
2.83,-0.6
2.87,-0.54
2.88,-0.52
2.94,-0.41
2.97,-0.35
2.99,-0.28
3.0,-0.22
3.0,-0.18
3.02,-0.07
3.04,0.0
3.06,0.08
3.08,0.15
3.1,0.21
3.13,0.25
